[01/04/2018][12:46:52]  -system err,ReadMob ENOENTN Arma_SemiDeus 
[01/04/2018][12:48:46]  -system err,No empty mobgrid(1): 1293 1945 1572 
[01/04/2018][12:48:46]  -system err,No empty mobgrid(1): 3455 2416 2122 
[01/04/2018][12:48:46]  -system err,No empty mobgrid(1): 3511 1332 4042 
[01/04/2018][12:48:48]  -system err,standingby processer delete hp zero mob 
[01/04/2018][12:48:58]  -system err,No empty mobgrid(1): 3605 2449 4010 
[01/04/2018][12:48:58]  -system err,No empty mobgrid(1): 4106 3541 2896 
[01/04/2018][12:49:00]  -system etc,nightmare_arcan clear -12:49 
[01/04/2018][12:49:00]  -system err,standingby processer delete hp zero mob 
[01/04/2018][12:49:10]  -system err,No empty mobgrid(1): 3511 1332 4041 
[01/04/2018][12:49:10]  -system err,No empty mobgrid(1): 5841 3424 1460 
[01/04/2018][12:49:10] IP: 25.80.207.79 FOKUS1 CNFAccountLogin Mac: 2033827341.-1638183242.-2033065182.-1411387887 
[01/04/2018][12:49:12]  -system err,standingby processer delete hp zero mob 
[01/04/2018][12:49:17] IP: 25.80.207.79 FOKUS1 sta,Login char:[GM]Fokus- exp:0 level:1012 conn:2 money:1998305114, store:0 
[01/04/2018][12:49:20]  FOKUS1 etc,changecity city:0 X:2088 Y:2106 
[01/04/2018][12:49:22]  -system err,No empty mobgrid(1): 5841 3425 1460 
[01/04/2018][12:49:22]  -system err,standingby processer delete hp zero mob 
[01/04/2018][12:49:34]  -system err,No empty mobgrid(1): 3511 1332 4039 
[01/04/2018][12:49:34]  -system err,standingby processer delete hp zero mob 
[01/04/2018][12:49:48]  -system err,standingby processer delete hp zero mob 
[01/04/2018][12:49:58]  -system err,standingby processer delete hp zero mob 
[01/04/2018][12:50:02] IP: 25.5.216.68 DECO adm +reboot 
[01/04/2018][12:50:03]  -system not AVISO: Servidor será reiniciado após 1 minuto. 
[01/04/2018][12:50:11]  -system err,standingby processer delete hp zero mob 
[01/04/2018][12:50:13]  -system not AVISO: Para salvar seu progresso é recomendável sair do jogo. 
[01/04/2018][12:50:15] IP: 25.80.207.79 FOKUS1 clo,fd 22-2 
[01/04/2018][12:50:15] IP: 25.80.207.79 FOKUS1 etc,charlogout conn:2 name:[GM]Fokus- 
[01/04/2018][12:50:22]  -system err,No empty mobgrid(1): 3455 2417 2122 
[01/04/2018][12:50:22]  -system err,No empty mobgrid(1): 3511 1333 4039 
[01/04/2018][12:50:22]  -system err,standingby processer delete hp zero mob 
[01/04/2018][12:50:23]  -system not AVISO: Reinicialização em 30 segundos. 
[01/04/2018][12:50:23] IP: 25.5.216.68 DECO clo,fd 22-2 
[01/04/2018][12:50:23] IP: 25.5.216.68 DECO etc,charlogout conn:1 name:TESTEEE 
[01/04/2018][12:50:33]  -system not AVISO: Reinicialização em 20 segundos. 
[01/04/2018][12:50:34]  -system err,standingby processer delete hp zero mob 
[01/04/2018][12:50:43]  -system not AVISO: Reinicialização em 10 segundos. 
[01/04/2018][12:50:46]  -system err,No empty mobgrid(1): 5841 3425 1460 
[01/04/2018][12:50:47]  -system err,standingby processer delete hp zero mob 
[01/04/2018][12:50:53]  -system not AVISO: Reiniciando... 
[01/04/2018][12:50:58]  -system err,No empty mobgrid(1): 5841 3425 1459 
[01/04/2018][12:50:58]  -system err,standingby processer delete hp zero mob 
[01/04/2018][12:51:02]  -system sys,server down complete 
