[06/03/2017][15:08:22]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:22]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:22]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:22]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:22]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:22]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:22]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:22]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:23]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:23]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:23]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:23]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:23]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:23]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:23]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:23]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:23]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:24]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:24]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:24]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:24]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:24]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:24]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:24]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:24]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:25]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:25]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:25]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:25]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:25]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:25]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:25]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:25]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:26]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:26]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:26]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:26]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:26]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:26]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:26]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:26]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:27]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:27]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:27]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:27]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:27]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:27]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:27]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:27]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:27]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:28]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:28]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:28]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:28]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:28]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:28]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:28]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:28]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:29]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:29]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:29]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:29]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:29]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:29]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:29]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:29]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:29]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:30]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:30]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:30]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:30]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:30]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:30]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:30]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:30]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:30]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:31]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:31]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:31]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:31]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:31]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:31]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:31]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:31]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:32] IP: 187.110.69.50 BIKINHO etc,msg_attack attacker:2 name:lH2O target:3636 name:Tauron dam:22570 x:1158 y:1696 
[06/03/2017][15:08:32]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:32]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:32]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:32]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:32]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:32]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:32]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:33]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:33] IP: 187.110.69.50 BIKINHO etc,msg_attack attacker:2 name:lH2O target:5758 name:Tauron dam:21381 x:1161 y:1703 
[06/03/2017][15:08:33]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:33]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:33]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:33]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:33]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:33]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:33]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:34]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:34]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:34] IP: 187.110.69.50 BIKINHO etc,msg_attack attacker:2 name:lH2O target:5755 name:Tauron dam:23011 x:1153 y:1696 
[06/03/2017][15:08:34]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:34]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:34]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:34]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:34]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:34]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:35]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:35]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:35] IP: 187.110.69.50 BIKINHO etc,msg_attack attacker:2 name:lH2O target:5758 name:Tauron dam:20351 x:1155 y:1696 
[06/03/2017][15:08:35]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:35]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:35]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:35]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:35]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:36]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:36]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:36]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:36]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:36] IP: 187.110.69.50 BIKINHO etc,msg_attack attacker:2 name:lH2O target:5755 name:Tauron dam:22130 x:1153 y:1696 
[06/03/2017][15:08:37]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:37]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:37]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:37]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:37]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:37]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:37] IP: 187.110.69.50 BIKINHO etc,msg_attack attacker:2 name:lH2O target:5756 name:Tauron dam:21176 x:1159 y:1701 
[06/03/2017][15:08:37]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:37]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:37]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:37]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:37]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:37] IP: 187.110.69.50 BIKINHO etc,msg_attack attacker:2 name:lH2O target:3636 name:Tauron dam:21469 x:1154 y:1696 
[06/03/2017][15:08:37]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:37]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:38]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
