[06/03/2017][15:01:30]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:1 
[06/03/2017][15:01:30]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:1 
[06/03/2017][15:01:30]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:1 
[06/03/2017][15:01:30]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:1 
[06/03/2017][15:01:31]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:1 
[06/03/2017][15:01:31]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:1 
[06/03/2017][15:01:31]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:1 
[06/03/2017][15:01:31]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:1 
[06/03/2017][15:01:31]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:1 
[06/03/2017][15:01:31]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:1 
[06/03/2017][15:01:31]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:1 
[06/03/2017][15:01:31]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:1 
[06/03/2017][15:01:31]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:1 
[06/03/2017][15:01:32]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:1 
[06/03/2017][15:01:32]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:1 
[06/03/2017][15:01:32]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:1 
[06/03/2017][15:01:32]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:1 
[06/03/2017][15:01:32] IP: 189.115.114.220 ZAYCO2808 sel_npc,npc:Acessorios price:83125 item: Fenrir : 2376.100.100.120.60.100.0 
[06/03/2017][15:01:32]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:1 
[06/03/2017][15:01:32]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:1 
[06/03/2017][15:01:32]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:1 
[06/03/2017][15:01:33]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:1 
[06/03/2017][15:01:33]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:1 
[06/03/2017][15:01:33]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:1 
[06/03/2017][15:01:36]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:1 pontos:1 
[06/03/2017][15:01:37]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:1 pontos:1 
[06/03/2017][15:01:43]  ZAYCO2808 etc,applybonus name:Support bonustype:0 detail:1 pontos:100 
[06/03/2017][15:01:43]  ZAYCO2808 etc,applybonus name:Support bonustype:0 detail:1 pontos:100 
[06/03/2017][15:01:44]  ZAYCO2808 etc,applybonus name:Support bonustype:0 detail:1 pontos:100 
[06/03/2017][15:01:45]  ZAYCO2808 etc,applybonus name:Support bonustype:0 detail:1 pontos:100 
[06/03/2017][15:01:46]  ZAYCO2808 etc,applybonus name:Support bonustype:0 detail:1 pontos:100 
[06/03/2017][15:01:47]  -system etc,kefraticket ticket:100 name:Banguela conn:13 
[06/03/2017][15:01:47]  ZAYCO2808 etc,applybonus name:Support bonustype:0 detail:1 pontos:100 
[06/03/2017][15:01:48]  ZAYCO2808 etc,applybonus name:Support bonustype:0 detail:1 pontos:100 
[06/03/2017][15:01:48]  GUGUPMG12 etc,applybonus name:ZePikeno bonustype:0 detail:2 pontos:100 
[06/03/2017][15:01:49]  GUGUPMG12 etc,applybonus name:ZePikeno bonustype:0 detail:2 pontos:100 
[06/03/2017][15:01:49]  GUGUPMG12 etc,applybonus name:ZePikeno bonustype:0 detail:2 pontos:100 
[06/03/2017][15:01:49]  GUGUPMG12 etc,applybonus name:ZePikeno bonustype:0 detail:2 pontos:100 
[06/03/2017][15:01:49]  GUGUPMG12 etc,applybonus name:ZePikeno bonustype:0 detail:2 pontos:100 
[06/03/2017][15:01:49]  GUGUPMG12 etc,applybonus name:ZePikeno bonustype:0 detail:2 pontos:100 
[06/03/2017][15:01:49]  ZAYCO2808 etc,applybonus name:Support bonustype:0 detail:1 pontos:100 
[06/03/2017][15:01:49]  GUGUPMG12 etc,applybonus name:ZePikeno bonustype:0 detail:2 pontos:100 
[06/03/2017][15:01:49]  GUGUPMG12 etc,applybonus name:ZePikeno bonustype:0 detail:2 pontos:100 
[06/03/2017][15:01:49]  GUGUPMG12 etc,applybonus name:ZePikeno bonustype:0 detail:2 pontos:100 
[06/03/2017][15:01:49]  GUGUPMG12 etc,applybonus name:ZePikeno bonustype:0 detail:2 pontos:100 
[06/03/2017][15:01:49]  GUGUPMG12 etc,applybonus name:ZePikeno bonustype:0 detail:2 pontos:1 
[06/03/2017][15:01:49]  GUGUPMG12 etc,applybonus name:ZePikeno bonustype:0 detail:2 pontos:1 
[06/03/2017][15:01:49]  ZAYCO2808 etc,applybonus name:Support bonustype:0 detail:1 pontos:100 
[06/03/2017][15:01:49] IP: 187.15.146.82 MATANZA etc,reqteleport char:Banguela X:2364 Y:3906 price:0 
