[05/03/2017][20:35:46]  -system err,No empty mobgrid(1): 5971 3389 1087 
[05/03/2017][20:35:49] IP: 168.181.139.83 CYBER sta,Login char:TK-MAGO exp:1800000000 level:89 conn:5 money:1361651988, store:0 
[05/03/2017][20:35:51]  DENIZAO98 etc,changecity city:0 X:2100 Y:2100 
[05/03/2017][20:35:51]  CYBER etc,changecity city:0 X:2096 Y:2106 
[05/03/2017][20:35:58]  -system err,No empty mobgrid(1): 223 2350 2131 
[05/03/2017][20:35:58]  -system err,No empty mobgrid(1): 1233 2268 1693 
[05/03/2017][20:35:58]  -system err,No empty mobgrid(1): 1297 1971 1624 
[05/03/2017][20:35:58]  -system err,No empty mobgrid(1): 2086 750 3808 
[05/03/2017][20:35:58]  -system err,No empty mobgrid(1): 2753 1746 1826 
[05/03/2017][20:35:58]  -system err,No empty mobgrid(1): 2997 1495 4008 
[05/03/2017][20:35:58]  -system err,No empty mobgrid(1): 5832 3426 1432 
[05/03/2017][20:35:58]  -system err,No empty mobgrid(1): 5971 3388 1088 
[05/03/2017][20:35:59] IP: 168.181.139.83 CYBER etc,reqteleport char:TK-MAGO X:1044 Y:1724 price:700 
[05/03/2017][20:36:03] IP: 168.181.139.83 CYBER etc,reqteleport char:TK-MAGO X:2458 Y:2018 price:0 
[05/03/2017][20:36:04]  CYBER etc,changecity city:2 X:2458 Y:2018 
[05/03/2017][20:36:10]  -system err,No empty mobgrid(1): 223 2350 2131 
[05/03/2017][20:36:10]  -system err,No empty mobgrid(1): 2086 749 3809 
[05/03/2017][20:36:10]  -system err,No empty mobgrid(1): 2997 1496 4007 
[05/03/2017][20:36:10]  -system err,No empty mobgrid(1): 5791 3358 1426 
[05/03/2017][20:36:10]  -system err,No empty mobgrid(1): 5971 3391 1089 
[05/03/2017][20:36:22]  -system err,No empty mobgrid(1): 1065 2368 1688 
[05/03/2017][20:36:22]  -system err,No empty mobgrid(1): 1205 2195 1700 
[05/03/2017][20:36:22]  -system err,No empty mobgrid(1): 1297 1972 1624 
[05/03/2017][20:36:22]  -system err,No empty mobgrid(1): 3453 2393 2101 
[05/03/2017][20:36:22]  -system err,No empty mobgrid(1): 5841 3425 1460 
[05/03/2017][20:36:22]  -system err,No empty mobgrid(1): 5971 3389 1086 
[05/03/2017][20:36:34]  -system err,No empty mobgrid(1): 1298 1979 1620 
[05/03/2017][20:36:34]  -system err,No empty mobgrid(1): 5971 3390 1086 
[05/03/2017][20:36:40]  -system etc,mount ressurect index:2379 vit:59 - 120 
[05/03/2017][20:36:43] IP: 187.110.69.50 BIKINHO etc,reqteleport char:lH2O X:2366 Y:3908 price:0 
[05/03/2017][20:36:46]  -system err,No empty mobgrid(1): 1297 1971 1623 
[05/03/2017][20:36:46]  -system err,No empty mobgrid(1): 2817 1746 1628 
[05/03/2017][20:36:46]  -system err,No empty mobgrid(1): 3455 2416 2122 
[05/03/2017][20:36:46]  -system err,No empty mobgrid(1): 3831 2406 2117 
[05/03/2017][20:36:46]  -system err,No empty mobgrid(1): 5971 3388 1085 
[05/03/2017][20:36:47] IP: 187.110.69.50 BIKINHO etc,reqteleport char:lH2O X:3251 Y:1704 price:0 
[05/03/2017][20:36:53] IP: 177.39.204.178 WALLACER137 CNFAccountLogin Mac: 812394551.-1378333794.-1614894986.-299591001 
[05/03/2017][20:36:58]  -system err,No empty mobgrid(1): 1298 1981 1620 
[05/03/2017][20:36:58]  -system err,No empty mobgrid(1): 3488 622 3757 
[05/03/2017][20:36:58]  -system err,No empty mobgrid(1): 5971 3391 1089 
[05/03/2017][20:37:04] IP: 177.39.204.178 WALLACER137 sta,Login char:Maldito exp:800000000 level:39 conn:6 money:1510626173, store:0 
[05/03/2017][20:37:05]  WALLACER137 etc,changecity city:0 X:2087 Y:2102 
[05/03/2017][20:37:08] IP: 186.219.27.34 KNUT CNFAccountLogin Mac: 724515583.668615476.-1939770398.889634658 
[05/03/2017][20:37:10]  -system err,No empty mobgrid(1): 1297 1970 1624 
[05/03/2017][20:37:10]  -system err,No empty mobgrid(1): 1709 143 3797 
[05/03/2017][20:37:14] IP: 186.219.27.34 KNUT sta,Login char:-Malevola- exp:780000000 level:39 conn:7 money:1926112916, store:0 
[05/03/2017][20:37:16]  KNUT etc,changecity city:0 X:2097 Y:2096 
[05/03/2017][20:37:22]  -system err,No empty mobgrid(1): 1298 1976 1624 
[05/03/2017][20:37:22]  -system err,No empty mobgrid(1): 3458 2386 2117 
