05.03.2017.19.46.06 IP: 201.23.128.224 ALUKZ useitem,poeira_de_fada classmaster:2 level:61 
05.03.2017.19.46.07 IP: 201.23.128.224 ALUKZ useitem,poeira_de_fada classmaster:2 level:61 
05.03.2017.19.46.07 IP: 201.23.128.224 ALUKZ useitem,poeira_de_fada classmaster:2 level:61 
05.03.2017.19.46.07 IP: 201.23.128.224 ALUKZ useitem,poeira_de_fada classmaster:2 level:61 
05.03.2017.19.46.07 IP: 201.23.128.224 ALUKZ useitem,poeira_de_fada classmaster:2 level:62 
05.03.2017.19.46.08 IP: 201.23.128.224 ALUKZ useitem,poeira_de_fada classmaster:2 level:63 
05.03.2017.19.46.08 IP: 201.23.128.224 ALUKZ useitem,poeira_de_fada classmaster:2 level:63 
05.03.2017.19.46.08 IP: 201.23.128.224 ALUKZ useitem,poeira_de_fada classmaster:2 level:64 
05.03.2017.19.46.08 IP: 201.23.128.224 ALUKZ useitem,poeira_de_fada classmaster:2 level:64 
05.03.2017.19.46.08 IP: 201.23.128.224 ALUKZ useitem,poeira_de_fada classmaster:2 level:64 
05.03.2017.19.46.09 IP: 201.23.128.224 ALUKZ useitem,poeira_de_fada classmaster:2 level:64 
05.03.2017.19.46.09 IP: 201.23.128.224 ALUKZ useitem,poeira_de_fada classmaster:2 level:64 
05.03.2017.19.46.09 IP: 201.23.128.224 ALUKZ useitem,poeira_de_fada classmaster:2 level:65 
05.03.2017.19.46.09 IP: 177.39.204.178 WALLACER137 buy_npc,npc:Refinacoes price:7350 item: Pergaminho_Selado : 4127.0.0.0.0.0.0 
05.03.2017.19.46.09 IP: 201.23.128.224 ALUKZ useitem,poeira_de_fada classmaster:2 level:66 
05.03.2017.19.46.09 IP: 201.23.128.224 ALUKZ useitem,poeira_de_fada classmaster:2 level:67 
05.03.2017.19.46.10 IP: 201.23.128.224 ALUKZ useitem,poeira_de_fada classmaster:2 level:67 
05.03.2017.19.46.10 IP: 201.23.128.224 ALUKZ useitem,poeira_de_fada classmaster:2 level:68 
05.03.2017.19.46.10 IP: 201.23.128.224 ALUKZ useitem,poeira_de_fada classmaster:2 level:68 
05.03.2017.19.46.10 IP: 201.23.128.224 ALUKZ useitem,poeira_de_fada classmaster:2 level:69 
05.03.2017.19.46.10 IP: 201.23.128.224 ALUKZ useitem,poeira_de_fada classmaster:2 level:70 
05.03.2017.19.46.11 IP: 201.23.128.224 ALUKZ useitem,poeira_de_fada classmaster:2 level:70 
05.03.2017.19.46.11 IP: 201.23.128.224 ALUKZ useitem,poeira_de_fada classmaster:2 level:70 
05.03.2017.19.46.12 IP: 201.23.128.224 ALUKZ useitem,poeira_de_fada classmaster:2 level:70 
05.03.2017.19.46.12 IP: 201.23.128.224 ALUKZ useitem,poeira_de_fada classmaster:2 level:70 
05.03.2017.19.46.12 IP: 201.23.128.224 ALUKZ useitem,poeira_de_fada classmaster:2 level:71 
05.03.2017.19.46.12 IP: 201.23.128.224 ALUKZ useitem,poeira_de_fada classmaster:2 level:71 
05.03.2017.19.46.12 IP: 201.23.128.224 ALUKZ useitem,poeira_de_fada classmaster:2 level:72 
05.03.2017.19.46.13 IP: 201.23.128.224 ALUKZ useitem,poeira_de_fada classmaster:2 level:73 
05.03.2017.19.46.13 IP: 201.23.128.224 ALUKZ useitem,poeira_de_fada classmaster:2 level:73 
05.03.2017.19.46.13 IP: 201.23.128.224 ALUKZ useitem,poeira_de_fada classmaster:2 level:74 
05.03.2017.19.46.13 IP: 201.23.128.224 ALUKZ useitem,poeira_de_fada classmaster:2 level:74 
05.03.2017.19.46.13 IP: 201.23.128.224 ALUKZ useitem,poeira_de_fada classmaster:2 level:74 
05.03.2017.19.46.14 IP: 201.23.128.224 ALUKZ useitem,poeira_de_fada classmaster:2 level:74 
05.03.2017.19.46.14 IP: 201.23.128.224 ALUKZ useitem,poeira_de_fada classmaster:2 level:74 
05.03.2017.19.46.14 IP: 201.23.128.224 ALUKZ useitem,poeira_de_fada classmaster:2 level:75 
05.03.2017.19.46.14 IP: 201.23.128.224 ALUKZ useitem,poeira_de_fada classmaster:2 level:75 
05.03.2017.19.46.14 IP: 201.23.128.224 ALUKZ useitem,poeira_de_fada classmaster:2 level:75 
05.03.2017.19.46.14 IP: 201.23.128.224 ALUKZ useitem,poeira_de_fada classmaster:2 level:76 
05.03.2017.19.46.15 IP: 201.23.128.224 ALUKZ useitem,poeira_de_fada classmaster:2 level:76 
05.03.2017.19.46.15 IP: 201.23.128.224 ALUKZ useitem,poeira_de_fada classmaster:2 level:76 
05.03.2017.19.46.15 IP: 201.23.128.224 ALUKZ useitem,poeira_de_fada classmaster:2 level:76 
05.03.2017.19.46.15 IP: 201.23.128.224 ALUKZ useitem,poeira_de_fada classmaster:2 level:76 
05.03.2017.19.46.15 IP: 201.23.128.224 ALUKZ useitem,poeira_de_fada classmaster:2 level:76 
05.03.2017.19.46.16 IP: 201.23.128.224 ALUKZ useitem,poeira_de_fada classmaster:2 level:77 
05.03.2017.19.46.16 IP: 201.23.128.224 ALUKZ useitem,poeira_de_fada classmaster:2 level:77 
05.03.2017.19.46.16 IP: 201.23.128.224 ALUKZ useitem,poeira_de_fada classmaster:2 level:78 
05.03.2017.19.46.16 IP: 201.23.128.224 ALUKZ useitem,poeira_de_fada classmaster:2 level:78 
05.03.2017.19.46.16 IP: 201.23.128.224 ALUKZ useitem,poeira_de_fada classmaster:2 level:79 
05.03.2017.19.46.17 IP: 201.23.128.224 ALUKZ useitem,poeira_de_fada classmaster:2 level:80 
05.03.2017.19.46.17 IP: 201.23.128.224 ALUKZ useitem,poeira_de_fada classmaster:2 level:80 
05.03.2017.19.46.17 IP: 201.23.128.224 ALUKZ useitem,poeira_de_fada classmaster:2 level:81 
05.03.2017.19.46.18 IP: 201.23.128.224 ALUKZ useitem,poeira_de_fada classmaster:2 level:82 
05.03.2017.19.46.18 IP: 201.23.128.224 ALUKZ useitem,poeira_de_fada classmaster:2 level:82 
05.03.2017.19.46.18 IP: 201.23.128.224 ALUKZ useitem,poeira_de_fada classmaster:2 level:83 
05.03.2017.19.46.18 IP: 201.23.128.224 ALUKZ useitem,poeira_de_fada classmaster:2 level:83 
05.03.2017.19.46.19 IP: 201.23.128.224 ALUKZ useitem,poeira_de_fada classmaster:2 level:83 
05.03.2017.19.46.19 IP: 201.23.128.224 ALUKZ useitem,poeira_de_fada classmaster:2 level:83 
05.03.2017.19.46.19 IP: 201.23.128.224 ALUKZ useitem,poeira_de_fada classmaster:2 level:84 
05.03.2017.19.46.19 IP: 201.23.128.224 ALUKZ useitem,poeira_de_fada classmaster:2 level:85 
05.03.2017.19.46.19 IP: 201.23.128.224 ALUKZ useitem,poeira_de_fada classmaster:2 level:86 
05.03.2017.19.46.19 IP: 201.23.128.224 ALUKZ useitem,poeira_de_fada classmaster:2 level:87 
05.03.2017.19.46.20 IP: 201.23.128.224 ALUKZ useitem,poeira_de_fada classmaster:2 level:87 
